TranscriptID;ICR_expectedCount;ICR_TPM;ICR2_expectedCount;ICR2_TPM;ICR3_expectedCount;ICR3_TPM;ICR4_expectedCount;ICR4_TPM
MCU_012185-RA;2689.00;398.62;7796.00;949.16;5621.00;831.84;1368.00;244.29
MCU_012186-RA;252.00;10.36;337.00;11.46;292.00;11.99;154.00;7.73
MCU_012187-RA;463.26;14.11;409.00;10.32;1276.00;38.84;217.74;8.11
MCU_012187-RB;10.74;0.29;0.00;0.00;0.00;0.00;6.26;0.21
MCU_012188-RA;8.00;1.53;4.91;0.77;4.00;0.76;1.00;0.23
MCU_012189-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012190-RA;314.69;6.53;386.61;6.65;373.02;7.74;150.01;3.81
MCU_012191-RA;606.31;9.86;566.39;7.64;576.98;9.38;386.99;7.71
MCU_012192-RA;228.00;9.96;222.00;8.03;560.00;24.45;115.00;6.13
MCU_012193-RA;0.00;0.00;0.00;0.00;0.00;0.00;2.00;4.40
MCU_012194-RA;0.00;0.00;0.00;0.00;45.95;1.90;0.00;0.00
MCU_012194-RB;67.00;2.81;108.00;3.75;67.05;2.81;50.00;2.56
MCU_012195-RA;61.00;1.01;88.00;1.20;166.00;2.73;39.00;0.79
MCU_012196-RA;189.00;10.47;181.00;8.29;300.00;16.60;123.00;8.30
MCU_012197-RA;164.00;11.56;213.00;12.40;296.00;20.85;96.00;8.23
MCU_012198-RA;18.00;5.58;2.00;0.50;39.00;12.04;5.00;1.83
MCU_012198-RB;4.00;2.22;7.00;3.13;10.00;5.54;5.00;3.23
MCU_012199-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012200-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012201-RA;182.00;11.00;411.00;20.52;257.00;15.51;130.00;9.57
MCU_012202-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012203-RA;25.00;2.29;5.00;0.38;42.00;3.84;15.00;1.67
MCU_012204-RA;0.00;0.00;2.00;0.50;1.00;0.31;1.00;0.36
MCU_012205-RA;7.00;0.26;15.00;0.47;21.00;0.79;3.24;0.15
MCU_012206-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012207-RA;0.00;0.00;0.00;0.00;1.00;0.36;0.00;0.00
MCU_012208-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012209-RA;53.00;1.11;13.00;0.23;146.00;3.07;6.00;0.15
MCU_012210-RA;758.80;50.43;1004.81;55.17;754.98;50.13;712.58;57.64
MCU_012212-RA;6183.39;423.09;3692.67;208.70;8638.96;590.52;5210.38;433.79
MCU_012212-RB;99.61;10.03;691.33;57.35;184.04;18.50;813.62;99.26
