TranscriptID B1_expectedCount B1_TPM B2_expectedCount B2_TPM B3_expectedCount B3_TPM B4_expectedCount B4_TPM
MCOS_0000120501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000121001-mRNA-1 0.93 0.86 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000122601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000123301-mRNA-1 140.00 10.86 456.00 38.36 192.00 24.14 368.00 34.27
MCOS_0000123701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000123901-mRNA-1 115.00 8.89 179.00 15.00 95.00 11.90 168.00 15.58
MCOS_0000124001-mRNA-1 0.00 0.00 3.00 2.43 0.00 0.00 1.00 0.91
MCOS_0000124101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000125601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000126001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000126601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000126801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000127801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000128501-mRNA-1 587.68 83.58 380.80 59.38 293.85 68.26 314.20 54.41
MCOS_0000128901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 1.75 2.60
MCOS_0000129301-mRNA-1 350.30 231.51 242.73 184.79 194.00 215.81 185.80 158.44
MCOS_0000129801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000130201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000130401-mRNA-1 7.80 2.54 2.08 0.76 1.68 0.91 0.00 0.00
MCOS_0000130601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000131701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000134501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000134701-mRNA-1 1.22 0.11 32.22 3.09 5.72 0.82 19.94 2.12
MCOS_0000137101-mRNA-1 127.08 15.42 212.29 28.14 134.73 26.63 189.05 27.80
MCOS_0000138501-mRNA-1 0.00 0.00 1.00 0.30 0.00 0.00 1.00 0.33
MCOS_0000139401-mRNA-1 211.87 18.30 307.94 28.89 136.38 19.11 296.40 30.80
MCOS_0000141801-mRNA-1 3.53 0.24 2.08 0.16 2.07 0.23 5.24 0.44
MCOS_0000142401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000144701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000147701-mRNA-1 228.00 63.06 242.00 74.79 123.00 56.30 229.00 78.97
MCOS_0000148101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000148601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000149501-mRNA-1 1.00 0.06 1.00 0.06 0.00 0.00 0.00 0.00
MCOS_0000149601-mRNA-1 0.00 0.00 5.17 2.06 0.00 0.00 2.44 1.09
MCOS_0000150001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000150801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000151201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000151301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000152701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.08
MCOS_0000153601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000154001-mRNA-1 51.42 2.42 184.30 9.37 71.05 5.40 188.37 10.58
MCOS_0000156901-mRNA-1 14.75 16.66 12.34 16.34 2.04 3.91 13.13 19.48
MCOS_0000158101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000161201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000164001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000164101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000165601-mRNA-1 26.00 2.33 37.00 3.60 9.00 1.31 33.00 3.56
MCOS_0000166701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000168101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000170201-mRNA-1 34.61 2.77 104.18 9.05 31.98 4.15 39.38 3.79
MCOS_0000171801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000172301-mRNA-1 0.00 0.00 1.00 0.30 1.00 0.44 0.00 0.00
MCOS_0000175501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000176001-mRNA-1 416.87 67.53 337.66 60.15 293.41 77.80 308.58 61.11
MCOS_0000176101-mRNA-1 13.12 0.97 0.00 0.00 0.00 0.00 15.12 1.34
MCOS_0000177301-mRNA-1 141.00 0.89 698.00 4.73 176.00 1.79 622.00 4.65
MCOS_0000179401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000179501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000179701-mRNA-1 1.00 0.61 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000180501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000181001-mRNA-1 990.00 1348.80 790.00 1266.97 692.00 1600.49 776.00 1394.88
MCOS_0000181401-mRNA-1 1.00 0.19 5.21 1.11 2.00 0.64 6.07 1.44
MCOS_0000181901-mRNA-1 543.00 35.57 1545.00 109.54 675.00 71.55 1116.00 87.53
MCOS_0000182601-mRNA-1 68.26 2.18 242.48 8.33 76.60 3.94 161.00 6.11
MCOS_0000184101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000185201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000186201-mRNA-1 0.00 0.00 164.61 3.47 51.98 1.64 147.33 3.43
MCOS_0000187301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000187501-mRNA-1 844.20 913.74 502.28 635.98 505.39 926.66 366.97 520.78
MCOS_0000187701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000188501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000188601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000189201-mRNA-1 67.35 12.91 34.94 7.40 46.26 14.56 40.03 9.44
