TranscriptID;IV_expectedCount;IV_TPM;IV2_expectedCount;IV2_TPM;IV3_expectedCount;IV3_TPM;IV4_expectedCount;IV4_TPM
MCOS_0000142401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000144701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000147701-mRNA-1;195.00;79.42;175.00;64.70;184.00;81.43;233.00;80.70
MCOS_0000148101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000148601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000149501-mRNA-1;0.00;0.00;3.00;0.24;4.00;0.38;2.00;0.15
MCOS_0000149601-mRNA-1;5.67;2.98;0.00;0.00;0.00;0.00;2.84;1.26
MCOS_0000150001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000150801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000151201-mRNA-1;0.00;0.00;2.08;1.18;0.28;0.19;4.98;2.67
MCOS_0000151301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000152701-mRNA-1;0.00;0.00;0.00;0.00;1.00;0.11;0.00;0.00
MCOS_0000153601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000154001-mRNA-1;172.57;11.53;129.17;8.05;88.76;6.64;40.28;2.34
MCOS_0000156901-mRNA-1;0.58;1.02;10.59;15.82;5.35;9.55;5.07;7.20
MCOS_0000158101-mRNA-1;3.06;1.01;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000161201-mRNA-1;0.00;0.00;1.00;0.81;0.00;0.00;0.00;0.00
MCOS_0000164001-mRNA-1;12.30;0.56;0.00;0.00;0.00;0.00;7.99;0.32
MCOS_0000164101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.42
MCOS_0000165601-mRNA-1;42.00;5.37;23.00;2.73;26.00;3.70;29.00;3.21
MCOS_0000166701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000168101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000170201-mRNA-1;57.00;6.51;39.31;4.17;36.38;4.63;21.45;2.13
MCOS_0000171801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000172301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.33
MCOS_0000175501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000176001-mRNA-1;319.38;74.90;345.85;74.63;241.87;62.55;348.15;70.22
MCOS_0000176101-mRNA-1;13.05;1.37;0.00;0.00;5.14;0.60;11.08;1.01
MCOS_0000177301-mRNA-1;602.00;5.36;479.00;4.00;259.00;2.60;128.00;1.00
MCOS_0000179401-mRNA-1;2.98;2.28;0.00;0.00;0.00;0.00;0.94;0.60
MCOS_0000179501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000179701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000180501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000181001-mRNA-1;794.00;1676.51;1144.00;2051.30;770.00;1648.55;891.00;1522.20
MCOS_0000181401-mRNA-1;2.04;0.57;1.57;0.41;5.00;1.55;7.00;1.69
MCOS_0000181901-mRNA-1;918.00;85.55;1035.00;89.81;808.00;84.14;807.00;65.35
MCOS_0000182601-mRNA-1;153.03;6.91;135.50;5.72;123.02;6.23;93.40;3.68
MCOS_0000184101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000185201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000186201-mRNA-1;136.14;3.77;82.21;2.13;79.96;2.49;33.02;0.80
MCOS_0000187301-mRNA-1;1.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000187501-mRNA-1;342.94;572.12;447.07;640.16;381.03;651.57;574.78;781.69
MCOS_0000187701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000188501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000188601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000189201-mRNA-1;41.76;11.65;40.03;10.24;33.29;10.20;47.20;11.29
MCOS_0000192401-mRNA-1;3.97;1.47;1.67;0.56;1.57;0.63;0.00;0.00
MCOS_0000193301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000195401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000196201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000197801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
